PRODUCT_CATEGORY,REVIEW_TEXT,SAMPLE_TYPE
Camera,"I ordered this for my Nikon D3-D.  I was very pleased with the quality of the camera and how well it performs. The pictures are good, but there is a lot of detail that needs to be taken into account when making adjustments.",GUIDED
Books,"While this book is for the faint of heart, I was pleasantly surprised at how well it turned out.  The characters are very interesting and believable.  They also seem to be a little bit over-exaggerated in some situations (such as when an elderly couple tries to extricate themselves from their marital situation).  However, they do come across as kind of a joke rather than something you would expect from a young man.",NON-GUIDED
Sports,Most accurate pellet EVER.  This is the second one I have owned.,GUIDED
Musical Instruments,"Before I got started playing with it, I was a little concerned about the quality of the instruments.  However, they are very good sounding and can be played at any time. I have used them for over a year now and haven't had any problems.  The only thing that stands out is how well they adjust the volume to compensate for the slight treble difference in my instrument.",NON-GUIDED
Kitchen,"its very good but I had to return it because of the large size.  The only thing i noticed was that there were a few small spots on the sides, so you can't see them all.",GUIDED
Luggage,"They are great.  They fit snugly and don't have a lot of room to put on them.  The only thing I didn't like about the bag is that it has some sort of zipper compartment, so if you're carrying something as small as one suitcase then there's no zippered pockets inside.  It also doesn't seem to hold up well at all.  If you carry anything other than books or electronics then these will work for you.",NON-GUIDED
Sports,I wish they had a more durable cover.,GUIDED
Video DVD,"I'd like to give you a taste of the Blu-ray format.  I've been using it for over a year now and have not had any problems with it. Pros:<br />Cons:<br />1) You can't see all the movies on this player, so there's only one movie you can watch that doesn't have subtitles.<br />2) There is no sound when playing DVDs or Blu-Ray discs at all (even if they do).<br />3) The picture quality isn't as good as in my previous review.<br />4) If you're looking for an easy way to stream Netflix videos from your computer rather than downloading them directly from your computer, then this may be the best choice.",NON-GUIDED
Grocery,"For the price, this is a good product.  I have had no problems with it so far.",NON-GUIDED
Home,I wanted a real hard case that would protect my laptop from the screen scratches.  I bought this and it is exactly what I was looking for.,GUIDED
Grocery,These are everything that I expected.  The quality is just what I was looking for. I am very pleased with this purchase and will be ordering more of these again in the future.,GUIDED
Apparel,"I'd like to say that I'm not impressed with the quality of this item.  It's too small for me, but it does look great on my wrist.  The material is soft and very durable.  If you are looking for a well-made garment or just an everyday fashion accessory (for example if you're looking for something more casual), then this will definitely be your first purchase.",NON-GUIDED
Grocery,"Well made.  We have a lot of dogs and they love it.  It's very easy to put together, but we also like the fact that there are so many different types of treats for each dog.  This is an excellent way to store all your treats in one place.",NON-GUIDED
Lawn and Garden,"Weeds are very popular with our garden friends. They love this stuff! It's super easy to store in a bag, but you have to take care of it because the outside world is full of bugs all over your yard. We've been using it for about 3 months now so we don't have any problems. It does not hurt if you use it on grass or anything else that needs to be cleaned out. The only thing I would say is that it doesn't get greasy like other types of plants do. But once you clean it will look good as well.",NON-GUIDED
Tools,"After a couple of weeks of use, I decided to give this one a try.  It's very light weight and easy to set up.  The only thing that really bothered me was how long it took for the batteries to fully charge. The battery pack is about 3&#34; thick (about 1/4&#34; wide by 2&#34; long).  There are two different rechargeable batteries in each case: 1- Charger - Battery packs can be found at http://www.amazon.com/gp/product/B002R9YE/ref=oh_aui_search_detailpage?ie=UTF8&psc=1&psc=2&psc=3&psc=4&psc=5&psc=6&psc=7 I've had no issues with my other chargers as far as durability.",NON-GUIDED
Office Products,My father bought this for me as a Christmas gift.,GUIDED
Toys,"This product is great.  I have had a lot of trouble with the buttons being too small for my 7 year old son and he loves it.  It's also very easy to put on his shirt, which will help him feel more secure after wearing it.",GUIDED
Books,They are very well written.,NON-GUIDED
PC,"Apart from the fact that it is made in China, I am very happy with my purchase.  It has a great feel to it and looks good even at night. Pros:<br />-It's easy to set up (once you have an internet connection)<br />-Easy to install on your PC without having to worry about getting caught by someone else!<br />-Fits just fine for casual use<br />-Doesn't take long to get used to...<br />-Cons:<br />-I don't know if this will last as long as some of the other reviewers who reviewed it said it would be ok or not so long as there are no problems. Update:<br />-The only complaint I have is that the battery seems to die off after 2 hours due to excessive hot flashes which can lead to death.",NON-GUIDED
Toys,"No what i expected. I was very pleased with the quality of this item. It arrived in a timely manner and is easy to assemble. However, it took some time for me to figure out how to put all the pieces together so that they would fit into each other properly.",GUIDED
Home Improvement,I bought this for my 3 year old son.  He loves it so much that he uses it every day.  It is very sturdy and easy to put together.,NON-GUIDED
Home Improvement,"What's new about this unit is that it has a built-in capability to take photos of your home in real time.  You can't do all that, but you can. There are no instructions on how to set up and operate the unit.  The only thing I would say is that there needs to be some manual setting for each individual photo taken.  That said, if you're looking for an easy way to get started without having to go through any more complicated steps, then this may not be the case.  If you just want to have hands-free access to basic equipment (such as cameras or other electronic devices), this will probably be the answer.",NON-GUIDED
Tools,"Seriously, this is one of the best tools I have ever used.  It's heavy duty and easy to use.  The only reason I didn't give it 5 stars was because there are no instructions on how to set up.",NON-GUIDED
Watches,"I just bought my second pair of these.  I am very pleased with the quality and look of them.  They are a bit larger than what I had expected, but still have room to wear them as well.",GUIDED
Automotive,"I bought this product as a gift for my son and he loves it.  It is easy to set up, the batteries last longer than they should be.",GUIDED
Electronics,"First of all, I wanted to give this review a try.  It is very easy to set up and operate.  You will be familiar with the steps that you must follow to get it started.  The first step is to turn off the power supply on. The second step is to turn off the battery in order to activate the USB cable.  If you do not have an outlet for your computer (or any other device) then there is no connection between the two devices.  There are three different modes: 1) Power &#34; Passive&#34; - which allows you to charge multiple devices simultaneously 2) Active&#34; - which lets you know when one device has been charged or unplugged from the wall by simply turning off the power switch.",NON-GUIDED
Tools,Good quality and easy to use.  I am very happy with this product.,NON-GUIDED
Electronics,"Here's my review: I bought this for my wife and she loves it.  It is easy to set up, very simple. The only complaint I have is that the buttons on the bottom of the case are a little bit too long (1/4&#34;).  This would be an issue if you turn them off when they are not in use.  You can adjust the length of the button by changing the position of the &#34;keyboard&#34; from 1/4&#34; to 2/8&#34;.  If you don't feel comfortable adjusting the height of the keyboard or turning the keys at certain times, then these buttons won't work unless you change the position of the &#34;keyboard&#34; so your fingers do not line up with the rest of the keyboard.",NON-GUIDED
Automotive,"Anyhow, this is a very good product.  It's easy to set up and operate without any issues. Pros:<br />- Easy to install in minutes<br />Cons:<br />- You have to unplug the power cord at least once every 2 or 3 times before you can use it for anything other than driving with your Prius<br />- The batteries do not last quite as long as they should be<br />- There are no &#34;features&#34; that would make this a great buy!<br />- No one else has been able to turn on/off the battery so there isn't too much hassle of having to shut off the power cord if you want to keep plugging all the time.",NON-GUIDED
Kitchen,"I got this for my husband and he loves it.  We have a large kitchen with lots of space, so we don't have to worry about the cabinets getting dirty or anything like that.",GUIDED
Lawn and Garden,I'll be buying more of these in the future.,NON-GUIDED
Beauty,Have a pet that loves to look at it.  It is very easy to put on and out of the box so you don't have to worry about getting dirty or anything like that.,NON-GUIDED
PC,"Apart from the game itself, there are a few things I would like to point out: 1) The graphics are very good. 2) You have to play as many people as you can in order to get access to your computer. 3) There is quite a lot of customization options available.  For example, if you want to create custom outfits for your characters, this could be an option. 4) It's not too difficult to customize certain outfits or outfits depending on which one you choose. 5) If you're looking for something that will entertain and entertain all those who don't know how to do it, then this might be the best choice. 6) Once you've played the game, you'll probably notice some movement changes (e.g.",NON-GUIDED
Tools,"While this is a bit pricey, it's definitely worth the money.  I bought one for my granddaughter and she loves it. Pros:<br />- Easy to set up<br />- Includes 3 USB ports<br />- Bluetooth 4.",NON-GUIDED
Sports,"I'd say this is a very good product for the money.  My only complaint is that it doesn't hold up well at all.  If you are looking for an inexpensive way to store your hard drives, I would recommend this item.",NON-GUIDED
Camera,"Seriously, this is one of the best cameras I've ever owned. If you're looking for a camera that can capture all kinds of things at once, look no further. It's built to last quite a while, but it doesn't take up much room in your pocket.  You don't have to worry about batteries leaking or anything like that! I was skeptical when I first set it up, so I went ahead and bought my own [[ASIN:B00FJQE5G Camera 4S 18-55mm Wide-Angle Lens with Optical Image Stabiliser]].  The lens works great on everything from photo quality to night vision (even indoors).  There are plenty of apps out there that allow you to customize how well you shoot without having to go through dozens of hoops trying to figure out how to use every single feature.",NON-GUIDED
Home Improvement,"Nice product.  I am very happy with this product.  It has a lot of room for improvement in the living room, and is easy to install.",NON-GUIDED
Pet Products,Have 5 cats and they love them.,GUIDED
Video DVD,"If you are looking for a DVD player, this is it.  It does what it says it will do. The sound is good and the picture quality is great.  I have not had any problems with blu ray discs or other Blu ray players so far.",GUIDED
Toys,"This pad is great for the price.  It's super soft and easy to put together.  The only thing I didn't like was how long it would last, so I had to buy another one.",GUIDED
Automotive,Our daughter loves to play with it.  We bought this as a Christmas present for her and she is so excited about it that we decided to give it a try.,NON-GUIDED
Automotive,"The Heininger 3059 Portable Electric Power Company (WEPCO) is pleased to report that it has made a significant impact on our electric vehicle fleet. The company produces high-quality, low-emission vehicles with excellent performance.",GUIDED
Office Products,This Avery Seal is a great product.  I love it so much that I bought two of them and they are now in the process of being shipped to my home. I am very pleased with this product! Thank you for your prompt service on this product.,GUIDED
Health & Personal Care,Don't buy this product from any other company.  You will not be able to use it on your own.,NON-GUIDED
Kitchen,Very simple and easy to use.  I am very satisfied with this product.,NON-GUIDED
Wireless,It works just as described.  It is very easy to set up and operate.,NON-GUIDED
PC,"Went up in a few days and it seems to be working fine.  I am not sure if this is due to any of the issues mentioned above, but as far as installation goes... Pros:<br />-It's very easy to install.<br />-Easy to install.<br />-Uses just about everything you need!<br />-Doesn't take long to set up (in minutes or hours)<br />-Cons:<br />-No instructions on how to do that.<br />-You have to unplug your power supply from the included AC adapter which doesn't work at all so don't waste your time trying to figure out how to turn it on/off by pressing &#34;button&#34; for ""OK"".<br />-There are no instructions on how to turn it on/off - there aren't any other options available.",NON-GUIDED
Toys,good size and quality.  I have a lot of T-shirts but this one is the perfect size for my t-shirt.,GUIDED
Pet Products,I've been using this product for about 3 months now and it works great.,NON-GUIDED
Beauty,Via the Amazon page.,GUIDED
Baby,"These are leakproof and fit like a glove.  I have been using them for about 2 months now, so they don't seem to last as long. I am very happy with the quality of these shoes.",GUIDED
Jewelry,Had a great experience with this item.  I bought it for my husband and he is very happy with it.,NON-GUIDED
Video DVD,Didn't work.  I had to return it because of the bad software on my computer.,NON-GUIDED
Kitchen,"You can absolutely believe this is a very well made product.  It's not hard to assemble, but it takes some getting used to.",GUIDED
Beauty,I'm prone to really bad acne.  This product is so much better than anything else I've tried that it doesn't have any of the side effects you'd expect from a pimple.,GUIDED
Lawn and Garden,"No complaints.  I love it! It is very easy to set up, but you have to go through a lot of hard-to-find items in order to get there. I highly recommend this product.",NON-GUIDED
Sports,These are Cool....Light weight and easy to set up.  I love them so much that I bought a pair of these for my wife and she loves them as well.,GUIDED
Automotive,Very sturdy jack foot.  I bought this for my daughter and she loves it.  She is 5'8&#34; and weighs 135 lbs.,GUIDED
Kitchen,"When I first saw this, I was a little concerned about the quality of the wood.  However, after two and a half years of use, it is still one of the best parts of my kitchen. I have used many different types of wooden utensils over the years to make sure that they are properly cared for in their intended use.  For instance, there has been no problem with plastic utensils at all.  In fact, some people even suggest using regular utensils (like mine) if necessary.  It’s not too bad! The only reason I don’t recommend using regular utensils is because you get what you pay for.  If you decide to use regular utensils as your primary source of income, then be prepared to spend more money on something else.",NON-GUIDED
Lawn and Garden,"Avoid this product.  It is not safe for cats or other pets, it is very dangerous to the health of your pet.",NON-GUIDED
Apparel,Just what I was looking for.  Very comfortable and looks just like the picture.,NON-GUIDED
Toys,"The figurine is really cute.  The only reason I didn't give it 5 stars was because of the lack of color, but that's not a big deal.",GUIDED
Video Games,Received this as a gift for my son-in-law.  He loves it and is very happy with his purchase.,GUIDED
Grocery,"Had a hankering about this one.  I bought it as a Christmas gift for my husband and he loves it!  It is very well made, easy to assemble and the quality of the product is excellent.  If you are looking for something that will last forever, look no further.",GUIDED
Furniture,"Awesome product.  I have been looking for a dresser that would fit my wife and her husband perfectly, but the price was too great to be true. Pros:<br />- Easy to assemble<br />- Very easy to set up<br />- Plenty of storage space<br />- Simple to put together<br />- The only thing i don't like about this is how long it stays in place<br />- It doesn't take much more than 5 minutes to get everything out! Cons:<br />- Not sure if you are planning on buying another one or just starting from scratch...it's hard to figure out which way to turn it off at any given moment without having to worry about what happens next. I will definitely order another one before purchasing again.",NON-GUIDED
Video DVD,"I don't like the sound but it's great.  I'm not a big fan of blu-ray discs, but if you're looking for something that will capture your music better than Blu-Ray, this might be the best choice.",GUIDED
Home Improvement,I looked all over the internet to find a home improvement kit for my son.  He loved it and was very happy with it.,GUIDED
Toys,All in one was a great gift for my son.,NON-GUIDED
Electronics,"If you live in a house, this is the way to go.  You can set it up by turning on/off switch and setting the power on. I have had no issues with my USB 3.0 mini-HDMI adapter for some time now.",GUIDED
Toys,No question about it.  It's the best toy I've ever owned.  The only reason I didn't buy it was because of its price.,NON-GUIDED
Automotive,"For the price, this is a good product.  I have not had any issues with it as of yet and will update if there are any problems.",NON-GUIDED
Automotive,"After years of service, I finally got this one. I have been using it for a year now.  It is very durable and easy to operate.  The only drawback is that the battery can not be fully charged at all.  You will need to remove the batteries in order to activate the automatic transmission.  If you do not want to use the auto transmission on your car, then there is no way to contact the manufacturer or any other vendor with assistance.",NON-GUIDED
Furniture,Excellent price.  It is well made and easy to assemble.  The only complaint I have is that the screw holes in the back of the box are not drilled correctly so you can't easily unscrew them if you want to do it yourself.,NON-GUIDED
Home Entertainment,"Read the reviews and you will be pleased with this product.  It is very easy to set up.<br />I have been using it for a couple of years now, but I am still not sure how much longer that life will last...",GUIDED
Video Games,excelente el futbol.  I bought this game to play with my friends and family.  They loved it as much as I did.,GUIDED
Musical Instruments,i've played them all over the world and have had no problems.  This is a very good instrument for beginners but I'm not sure if it will hold up as well or better than some of the other instruments you may be using.,GUIDED
Electronics,"Loving this unique portable speaker system.  I've had it for a few months now, and have been very pleased with the sound quality of these speakers.  The only drawback is that you can't turn them on or off while they are plugged in.",GUIDED
Baby,"My 3 year old loves to play with it.  She is 5'8&#34; and weighs 130 pounds.  We were able to get her out of the crib a little while ago, but we didn't have enough room in the back!  It's been so easy to put together that she has had to sit on our side for about 2 weeks now.",NON-GUIDED
Pet Products,"Simply put, this product is exactly what I was looking for.  My dog loves to play with it and has a lot of fun playing with it.",NON-GUIDED
Watches,"The watch was not as well made as the picture.  The face is a bit too big to be noticeable on my wrist, but it does look nice in person.",GUIDED
Sports,This little tool is a must have for anyone looking to use it.  It does the job and holds up very well.,GUIDED
Electronics,Works just what I was looking for.,GUIDED
Apparel,Simply beautiful. I am very happy with this product.,NON-GUIDED
Kitchen,"Received unit just prior to ordering.  I have a large kitchen and it is very hard to put together without the help of hand tools.  It took me about 10 minutes to assemble, which was exactly what I needed.",GUIDED
Video DVD,"I just finished watching this movie.  I watched it on blu-ray and decided to give it a try. It's funny, but not so funny.",GUIDED
Home Entertainment,"This is a great game for kids and adults alike. It has tons of replay value, but there are so many different ways it can be played.",NON-GUIDED
Musical Instruments,"Used with my Yamaha RX-6.  I have been using this for over a year now and it has held up well without any problems. I like the fact that there is no &#34;keyboard&#34; on the bottom of the board, which can be easily removed if you do not want to use your own hand crank.  The only reason I didn't give it 5 stars was due to the low price compared to other products in the market.",NON-GUIDED
Grocery,"If you are looking for a good gift, this is it!  It arrived on time and I was very pleased with the quality of the product.  The only thing that surprised me was how long it took to get the hang of the item.",GUIDED
Video Games,"My son is very picky about video games, but he has never been a big fan of Call of Duty: Ghosts.  This game was perfect for him because it's so much fun to play and I can't wait to get the next one out! I highly recommend this game.",GUIDED
Beauty,I'll update my review once I receive the product.,NON-GUIDED
Home Entertainment,Recently purchased a second one of these.  The first one I ordered was from Amazon.,NON-GUIDED
Pet Products,"Seriously, what a waste of your money.  This product does not work at all.  It is very cheaply made and I have to return it if I don't want to use it on my dog.",NON-GUIDED
Toys,Poorly made. I had to return them because they were too big for me and the price was outrageous.,GUIDED
Wireless,"Checkpoint is a great product.  I have been using it for several months now, and am very pleased with the quality of customer service.",NON-GUIDED
Shoes,"Recently I purchased a pair of these shoes.  They are comfortable and look like they will last for many years to come.  The quality is good, but the price was too high for such a shoe.",NON-GUIDED
Health & Personal Care,Sucks. Will be ordering more in the future.,GUIDED
Home,"Made well, easy to assemble and has a lot of room for storage.  The only thing I don't like about this is that it doesn't come with an adapter so you can plug in your ipod or something else.",GUIDED
Office Products,"Did a lot of research on this product, but found that it does not work as advertised.  I have had no problems with the product. I would highly recommend this product.",GUIDED
Home,"Going Home is a great book about the lives of our children and their parents.  It was written as a way to share information with friends, family and even strangers.  I would highly recommend this book for anyone interested in learning more about how we were raised.",NON-GUIDED
Lawn and Garden,I'm very pleased with this product.  I've been using it for a couple of months now and love that it's easy to use.,NON-GUIDED
Apparel,Great value.  Very comfortable and easy to wear.,NON-GUIDED
Furniture,This wardrobe was a gift for my husband and he loved it.  It is very comfy and easy to put together.  The only thing I would say is that the back of the dresser does not come off so you can't see it from the outside.,GUIDED
Furniture,Bought two of these for my husband and he loves them. They are a bit large but not too big either. The only complaint I have is that they don't fit in the back pocket so you can easily get your hands dirty as well.,GUIDED
Grocery,"I bought this for my husband and he loves it.  It is very simple to put together, easy to set up (he has a lot of space in his pocket) and can be used as a decorating tool. The only reason I didn't give it 5 stars was because the instructions don't say how to assemble but you will have to go through all the necessary steps before putting it together.",NON-GUIDED
Kitchen,This juicer was bigger than I thought it would be.  It has a lot of storage space and is easy to use.  The only thing i didn't like about the juicer was that its hard to open.,GUIDED
Lawn and Garden,The bank in front of my house is a lot bigger than I thought it would be.  It has plenty of room for all the tools needed to keep things organized.,GUIDED
Home Entertainment,"As mentioned by others, this game is a must have for all gamers.  It's simple to program and does everything it says it will do.",GUIDED
Toys,"Even though they are made in China, we have a lot of work to do.  The only thing I would say is that if you don't like the look of these t-shirts, it's not going to be for you.",NON-GUIDED
Musical Instruments,"i've played drums for over a year now.  I have no idea what they are doing, but the sound is very good and easy to learn.",GUIDED
Books,"I've been looking for books that are easy to read.  They have a lot of interesting characters, and I like the fact that they don't need to be told all the time. This book is well written (at least in my opinion).  It's not over-exaggerated at all! The writing style is very similar to those of Harry Potter: The Deathly Hallows - so what can you expect from this one?  There aren't too many details about how it will affect your decision on whether or not to continue with Hogwarts.",NON-GUIDED
Watches,"From Amazon.com to Black Friday.  I bought this for my wife and she loves it!  It is a very nice watch with lots of different colors, so you can't go wrong with it.  The only thing i don't like about the color is that there are no instructions on how to set it up.",NON-GUIDED
Jewelry,"The bracelet is very cute.  It looks like it will hold up well in my purse, but I have to wear it a lot more than that.",GUIDED
Outdoors,My daughter wears this every day.  It is a must have for her as she has always wanted to protect herself from the dangers of gun violence.  I would highly recommend it.,GUIDED
Jewelry,"The day I bought it, there was a lot of confusion about how to use it.",GUIDED
Outdoors,"Ok, so this is the first one I've owned.  It has a lot of holes in it that just don't fit into very well-defined areas.  The other two are not large enough to hold anything at all. The only reason I'm not giving it 5 stars is due to how easy it is to set up.  If you're looking for something simple and inexpensive with lots of options, go ahead and buy from Amazon.  That said, if you have any problems setting up, be sure to check your local hardware store before purchasing.  Otherwise, look no further.",NON-GUIDED
Beauty,"Plain and simple to use.  My only complaint is that it's a little long, but I don't think you'll be disappointed with this product.",GUIDED
Musical Instruments,"I'd like to give you an idea of what these are.  I can't say enough about the price, but it's nice that they're made in China and have a lot of good quality materials.",NON-GUIDED
Video DVD,"I'm not a big fan of Blu-ray discs, but I was pleasantly surprised to find that they are very good quality.  The sound is great and you can't go wrong with this movie. It's hard to get enough people in your home theater system to enjoy it.  You have to listen to the music on both VHS and DVD players so you don't need to worry about getting too close to each other.  That being said, if you're looking for an easy way to stream movies without having to use multi-monitor audio devices (i.e., blu-ray players) then this may be the best option.",NON-GUIDED
Shoes,I ordered them as a gift for my brother and he loves them.  He is very happy with the quality of the shoes so far.,GUIDED
Wireless,"I put this on my phone and it worked great. I have not had any issues with the wireless charging, but if you are in need of something to charge your phone then there is no problem.",GUIDED
Health & Personal Care,"Don't buy this product unless you're in the medical field. It's a little pricey, but it's worth it.  I've been using it for about 3 months now and am very happy with my purchase.",NON-GUIDED
Furniture,"The fabric was tacky and I had to return it.  It is much more durable than the one that came with my old furniture, but if you are looking for a better quality piece of furniture look no further.",GUIDED
Baby,"I read a lot of reviews about this product, so I decided to give it a try.  It's very easy to set up and have the baby sit on his back while he is laying.",GUIDED
Outdoors,"First of all, this is a great product.  I bought it for my husband and he loves it.  It was easy to put together without any problems. I would definitely buy again.",NON-GUIDED
Home Improvement,Works great!  I bought this for my daughter and she loves it.  The only complaint is that there are a few small holes in the back of the unit so you have to take them out if you want to repair. I am very happy with this purchase.,GUIDED
Electronics,"The good thing about this product is that it's easy to install.  I'm not a big fan of electronics, but in my opinion one of the best things you can do is make sure your cables are secure.",GUIDED
Grocery,"Overall good quality.  I'm very happy with this product.  It's easy to set up, has a lot of storage space and is well made.  My only complaint is that it doesn't stay in place at all.  There are several different types of hard-to-find items on the shelves but you can easily find them by searching online or buying from Amazon. I highly recommend this product.",NON-GUIDED
Kitchen,I used this item for a couple of years and it worked great.  I would recommend to anyone looking for quality kitchen utensils.,GUIDED
Jewelry,"I'll update this review once I receive the product.  The color is a little darker than what I expected, but it's still pretty darn good.  It arrived on time and was packaged very well.  My only complaint would be that there were no instructions for how to remove or replace the jewelers' screws. Update: The screw holes in the bottom of the box are too small (about 2 1/2&#34; wide by 3/8&#34; long).  They're not supposed to hold anything at all.  If you don't want to use them as many screws as possible, they won't even fit into your door frame.",NON-GUIDED
Beauty,"This stuff is great! I use it all the time and have always been happy with my makeup.  It has a lot of room to apply, but if you are looking for something that will last longer than a few days then this does not do it justice.",GUIDED
Video DVD,Used this to record movies on blu-ray.  It was very easy to set up and play DVDs easily.,NON-GUIDED
Kitchen,Very basic and easy to set up.  I have had no problems with it so far.  It is very well made and the instructions are clear. I will be ordering more of these in the near future.,NON-GUIDED
Furniture,"Simply put, it's a great value.  I'm very pleased with the quality of this item and would definitely buy again.",NON-GUIDED
Home Entertainment,"I wanted a DVD player for my home entertainment system.  I don't know if it would be the best thing ever, but that's what I was looking for. My wife and I decided to give this Blu-ray player a try.",GUIDED
Luggage,I love this purse!  It is very comfortable and easy to carry.  I have used it for a few months now and am sure my luggage will be back in good shape as soon as the weather clears up.,GUIDED
Musical Instruments,"Before I got this, I thought it would be interesting to see if the range was really good or not.  It's a little loose in terms of how much you can adjust your tone depending on which instrument you're using.  However, for me, that hasn't been a big issue so far.  The sound is decent and very clear with no distortion whatsoever.  There are plenty of instruments out there that don't have any distortion at all.  That being said, I didn't want to spend too much time trying to figure out how to use them without sounding like an amateur.  This isn't my first foray into electronic music (although I've never used anything similar).  In fact, I'm always looking for ways to get myself into some sort of jamming/drumming territory where I can more easily do what I love best.",NON-GUIDED
Lawn and Garden,"We live in a townhouse with lots of trees.  This is one of those places where you have to take care of your plants. I bought this for my 3 year old grandson, he loves it! It's very easy to set up but there are so many things that need to be done: 1. Setting up the stand (right side down) 2. Using the included power cord on both sides of the stand - I was able to get him to use his left hand without any problems. 3. Connecting the unit to the wall/carpet has been a breeze since we first put it on...we've had no issues connecting it to the wall or anything else. 4.",NON-GUIDED
Video Games,Best game ever.  It is a must have for any gamer. I highly recommend this game to anyone who has experience with video games.,GUIDED
PC,Beautiful and functional. I have only had it for a month with no problems at all.,NON-GUIDED
Toys,Most of these Jazzwares are made in the USA.  We have been using them for a few years now and they seem to be well made.,GUIDED
Toys,"Avoidance.com is a great place to find &#34;toys&#34; that are safe for you and your kids. The only thing I don't like about this product is the fact it doesn't have an expiration date, which makes it easy to figure out how to get started with. It's hard to know what day of the week other than 6 am in the morning (I've been doing math).",NON-GUIDED
Sports,"I'm not sure if I'll be able to use this product again, but it's definitely worth the money. If you're looking for a high quality sports gear that will last your whole life, look no further. This is one of my favorites... The only reason I didn't give it 5 stars would be because there are so many things out there: 1. The color(s) isn't quite what you'd expect from an expensive watch face. It's almost as bright and vibrant as some of the other faces in the line up. 2. You can adjust the brightness/darkness settings manually depending on how much you want them to go. 3. There aren't any adjustments made at all (lens, sunscreens, etc).  So far they seem to work fine. 4.",NON-GUIDED
Shoes,"Meets my expectations.  I have a pair of these shoes and they fit perfect.  They are well made and the shoe is very comfortable to wear.  The only thing that bothered me was how long it took for them to get used to each other's feet.  It seems like every time someone walks in front of you, your foot will begin to wobble as soon as you put them on. I would definitely buy again.",NON-GUIDED
Home Improvement,"Great product.  I bought it as a Christmas gift for my husband and he loves it!  It is very simple to set up, easy to install and has the following features: 1) Easy installation. 2) Adjustable height adjustment. 3) The unit can be adjusted by turning on/off (or off depending on your needs).  This will allow you to adjust the height of the unit in any direction without having to worry about adjusting the height of the unit itself.  For example, if you are going to use an extension cord or something like that, this would make it easier to adjust the height of the unit when needed.  If you want to change the height of the unit while driving, this may not be the way to do so.",NON-GUIDED
Grocery,From Time to Time This is a very good book.  The characters are well developed and believable.,NON-GUIDED
Luggage,I am sick of having to carry a suitcase full of luggage.  I have been carrying it all day long and the only thing that bothered me was how long my hands would be touching something.  This bag is very sturdy and easy to store.,GUIDED
Video DVD,"Away Blu-Ray player works great.  I bought it for my son who is a movie buff so he can play all kinds of movies on the go. Pros:<br />1) It's easy to use and plays as well as any other blu-ray player.<br />2) There are no built in remote control buttons, which means you don't have to rely on your computer to do that.<br />3) The picture quality is very good compared to Sony's PS4 or Xbox One.<br />4) You'll be able to take pictures without having to worry about getting lost in menus.<br />Cons:<br />1) If you're looking for an entertainment center with lots of video cameras, this may not be the best choice.<br />2) A lot of people seem to think there must be some kind of HDMI port (or something like that). That doesn't really bother me either.",NON-GUIDED
Musical Instruments,"Having read some of the other reviews, I decided to give this one a try.  It's very easy to set up and play without any problems. I've been playing with it for about 3 months now and have not had any issues so far.  The sound quality is excellent as compared to my previous Behringer iPods.",NON-GUIDED
Lawn and Garden,"Not OEM cover.  I bought this for my 3 year old son who is 5'3&#34; so he doesn't have to worry about it getting scratched or anything like that.  He has a lot of room in his car, but not much else on the market.",GUIDED
Pet Products,I have only had this product for a month and it has not stopped working.,GUIDED
Beauty,"While cognizant that many products are made in China, this is not the first time I have tried &#34;made in China&#34;.  In fact, it's been a pleasure to work with and be part of my family.",GUIDED
Outdoors,Cheap and heavy duty.  I bought this for my 7 year old son to play with in the woods.,GUIDED
Camera,Just got this camera today.  I have a Nikon D3200 and it works great.,NON-GUIDED
Shoes,"These were large enough to fit in a purse.  The only thing I don't like about them is that they are very small, but not too big for my liking. I am 5'3&#34; and weigh 185 lbs.",GUIDED
Baby,I was able to use this product for the first time.  I am 5'2&#34; and weigh 205 lbs.  It is very easy to set up.,GUIDED
Baby,"From Amazon.com This is a very good product, and I am happy with it. I like the fact that there are no instructions on how to use &#34;keyboard&#34; in order to activate &#34;activation&#34; of my iPad. The only thing i don't like about this one is that you have to be careful not to press any key while your child is playing or reading/reading at the same time.  This device does exactly what it was supposed to do: It lets you know when something is going to happen during certain periods of time (e.g., an hour or more) without having to press any key while still being able to enter &#34;activities&#34; which can be done by pressing &#34;fingerprints&#34; after each period of time.",NON-GUIDED
Watches,"The watch looks and feels very good.  I had to return it because of a problem with the strap on my wrist. So far so good! I would definitely recommend this watch if you are looking for a simple, well made watch that will last forever.",NON-GUIDED
PC,"First of all, I have to say that this is a very good product. It does what it's supposed to do and doesn't take up much room in my bedroom. If you are looking for an easy way to clean your PC after installing the OS, this might be the perfect solution. However, if you're just looking for something simple with minimal fussiness or lack of storage space, this may not be the case. The only thing I didn't like was the fact that there were no instructions on how to remove the screws from the mounting area (which had already been removed). For those who don't want to use any kind of heavy-duty tools such as shavers, pliers, saws, etc., then this would probably be the perfect solution. If you need some sort of sturdy tool at home, look no further than this one.",NON-GUIDED
Beauty,Was a gift for my husband and he loved it.  He is 6'3&#34; and weighs 145 pounds so we are very pleased with the quality of this product.,NON-GUIDED
Camera,Great to have on your phone and it works great.  I would recommend this camera if you are looking for an affordable way to get around the $100-$200 price tag.,GUIDED
